Name,Feature,Full Address,Street,Municipality,Categories,Plus Code,Phones,Emails,Review Count,Average Rating,Review URL,Google Maps URL,Cid,Google Knowledge URL,Kgmid,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Place Id
La Cubana,Retro-style diner serving Cuban fare,"392 Roncesvalles Ave, Toronto, ON M6R 2M9",392 Roncesvalles Ave,Toronto,Cuban restaurant,87M2MG2X+9H,"(416) 538-7500, +1 416-538-7500","info@lacubana.ca, ossington@lacubana.ca",1171,4.5,"https://search.google.com/local/reviews?placeid=ChIJuUfugTY0K4gR8F32HAg3jNk&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=15675964910955027952,15675964910955027952,https://www.google.com/search?kgmid=/g/1z3t96h9h&kponly,/g/1z3t96h9h,43.650881999999996,-79.4510014,http://www.lacubana.ca/,lacubana.ca,"Saturday:[12-9p.m.], Sunday:[Closed], Monday:[Closed], Tuesday:[3-8:30p.m.], Wednesday:[12-8:30p.m.], Thursday:[12-8:30p.m.], Friday:[12-9p.m.]",https://lh5.googleusercontent.com/p/AF1QipMgC23fh1HbTEsUh_VjZ-UiKGp3hafzB26z1GXi=w122-h92-k-no,ChIJuUfugTY0K4gR8F32HAg3jNk
Blu Ristorante,Fine dining with modern Italian cuisine,"90 Avenue Rd, Toronto, ON M5R 2H2",90 Avenue Rd,Toronto,"Italian restaurant, Event venue, Fine dining restaurant, Live music venue, Mediterranean restaurant, Northern Italian restaurant, Pasta shop, Restaurant, Seafood restaurant, Wine bar",87M2MJC3+WH,"(416) 921-1471, +1 416-921-1471","info@bluristorante.com, jane@bluristorante.com",938,4.4,"https://search.google.com/local/reviews?placeid=ChIJKSGg_K40K4gRZu1p14vL_Yg&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=9871269759740931430,9871269759740931430,https://www.google.com/search?kgmid=/m/0526rmb&kponly,/m/0526rmb,43.672346399999995,-79.3960037,https://www.bluristorante.com/,bluristorante.com,"Saturday:[4:30-10:30p.m.], Sunday:[4:30-10p.m.], Monday:[5-10p.m.], Tuesday:[5-10p.m.], Wednesday:[5-10p.m.], Thursday:[5-10p.m.], Friday:[5-10:30p.m.]",https://lh5.googleusercontent.com/p/AF1QipNvyPGqgqTyNf_02BY_2DpDcjNsMdb3xKFTKmIF=w138-h92-k-no,ChIJKSGg_K40K4gRZu1p14vL_Yg
La Costeñita,,"2481 Finch Ave W, North York, ON M9M 2G1",2481 Finch Ave W,North York,"Colombian restaurant, Restaurant",87M2PCXW+RV,"(647) 808-3244, +1 647-808-3244",info@lacostenita.ca,86,4.5,"https://search.google.com/local/reviews?placeid=ChIJjYje91YxK4gRuoySa9NXnLc&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=13230546370862156986,13230546370862156986,https://www.google.com/search?kgmid=/g/11f9vw4m_c&kponly,/g/11f9vw4m_c,43.7495094,-79.55275309999999,http://www.lacostenita.ca/,lacostenita.ca,"Saturday:[11a.m.-8p.m.], Sunday:[Closed], Monday:[Closed], Tuesday:[Closed], Wednesday:[11a.m.-8p.m.], Thursday:[11a.m.-8p.m.], Friday:[11a.m.-8p.m.]",https://lh5.googleusercontent.com/p/AF1QipMYQ8KX4N3zn4cEpICeL1nQ_tP5ZydoZNvhL7no=w122-h92-k-no,ChIJjYje91YxK4gRuoySa9NXnLc
Copacabana Brazilian Steakhouse,,"205 Marycroft Ave, Woodbridge, ON L4L 5X8",205 Marycroft Ave,Woodbridge,"Steak house, Brazilian restaurant, Italian restaurant, Restaurant",87M2QCMM+QM,"(905) 856-2427, +1 905-856-2427",INFO@THECOPA.CA,3058,4.1,"https://search.google.com/local/reviews?placeid=ChIJqWGP4lslK4gRmKfq6x7u0p4&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=11444471419676305304,11444471419676305304,https://www.google.com/search?kgmid=/g/11ckvm8xvd&kponly,/g/11ckvm8xvd,43.7844142,-79.5658732,https://www.thecopa.ca/vaughan,thecopa.ca,"Saturday:[4-11p.m.], Sunday:[4-11p.m.], Monday:[Closed], Tuesday:[Closed], Wednesday:[5-11p.m.], Thursday:[5-11p.m.], Friday:[5-11p.m.]",https://lh5.googleusercontent.com/p/AF1QipOUK9pg7OC-Z2ScnRP1g5fqdWjX7W37u3OpYTcv=w138-h92-k-no,ChIJqWGP4lslK4gRmKfq6x7u0p4
Flower Lantern Vegetarian Restaurant,,"2437 Finch Ave W #1, North York, ON M9M 2E7",2437 Finch Ave W #1,North York,Vietnamese restaurant,87M2PFX2+W7,"(416) 746-9888, +1 416-746-9888",,107,4.6,"https://search.google.com/local/reviews?placeid=ChIJCXh0uvwxK4gR5aShU9iHg_c&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=17835248312503084261,17835248312503084261,https://www.google.com/search?kgmid=/g/11gmvznmt3&kponly,/g/11gmvznmt3,43.7498162,-79.5493678,https://www.flowerlanternrestaurant.com/,flowerlanternrestaurant.com,"Saturday:[10:30a.m.-9p.m.], Sunday:[10:30a.m.-9p.m.], Monday:[10:30a.m.-8p.m.], Tuesday:[10:30a.m.-8p.m.], Wednesday:[10:30a.m.-8p.m.], Thursday:[10:30a.m.-8p.m.], Friday:[10:30a.m.-9p.m.]",https://lh5.googleusercontent.com/p/AF1QipOeMOK2b8T0IOWsqnYl2RcfYZmnq23GLuL4J7c6=w122-h92-k-no,ChIJCXh0uvwxK4gR5aShU9iHg_c
PAI,Northern Thai fare in a relaxed space,"18 Duncan St, Toronto, ON M5H 3G8",18 Duncan St,Toronto,Thai restaurant,87M2JJX6+4G,"(416) 901-4724, +1 416-901-4724","downtown@paitoronto.com, jeff@paitoronto.com",9633,4.6,"https://search.google.com/local/reviews?placeid=ChIJ1ZGZKNk0K4gRaouNzuptWV8&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=6870643561785559914,6870643561785559914,https://www.google.com/search?kgmid=/g/11b6dv0rlh&kponly,/g/11b6dv0rlh,43.647852799999995,-79.3887403,http://www.paitoronto.com/,paitoronto.com,"Saturday:[12-10p.m.], Sunday:[12-9p.m.], Monday:[4-9p.m.], Tuesday:[4-9p.m.], Wednesday:[4-9p.m.], Thursday:[12-9p.m.], Friday:[12-10p.m.]",https://lh5.googleusercontent.com/p/AF1QipPLa1zYnCja3RijwacAlCZbsU3V-1-m2Mn7Xx7l=w122-h92-k-no,ChIJ1ZGZKNk0K4gRaouNzuptWV8
Copacabana Brazilian Steakhouse,,"205 Marycroft Ave, Woodbridge, ON L4L 5X8",205 Marycroft Ave,Woodbridge,"Steak house, Brazilian restaurant, Italian restaurant, Restaurant",87M2QCMM+QM,"(905) 856-2427, +1 905-856-2427",INFO@THECOPA.CA,3058,4.1,"https://search.google.com/local/reviews?placeid=ChIJqWGP4lslK4gRmKfq6x7u0p4&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=11444471419676305304,11444471419676305304,https://www.google.com/search?kgmid=/g/11ckvm8xvd&kponly,/g/11ckvm8xvd,43.7844142,-79.5658732,https://www.thecopa.ca/vaughan,thecopa.ca,"Saturday:[4-11p.m.], Sunday:[4-11p.m.], Monday:[Closed], Tuesday:[Closed], Wednesday:[5-11p.m.], Thursday:[5-11p.m.], Friday:[5-11p.m.]",https://lh5.googleusercontent.com/p/AF1QipOUK9pg7OC-Z2ScnRP1g5fqdWjX7W37u3OpYTcv=w138-h92-k-no,ChIJqWGP4lslK4gRmKfq6x7u0p4
PAI,Northern Thai fare in a relaxed space,"18 Duncan St, Toronto, ON M5H 3G8",18 Duncan St,Toronto,Thai restaurant,87M2JJX6+4G,"(416) 901-4724, +1 416-901-4724","downtown@paitoronto.com, jeff@paitoronto.com",9633,4.6,"https://search.google.com/local/reviews?placeid=ChIJ1ZGZKNk0K4gRaouNzuptWV8&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=6870643561785559914,6870643561785559914,https://www.google.com/search?kgmid=/g/11b6dv0rlh&kponly,/g/11b6dv0rlh,43.647852799999995,-79.3887403,http://www.paitoronto.com/,paitoronto.com,"Saturday:[12-10p.m.], Sunday:[12-9p.m.], Monday:[4-9p.m.], Tuesday:[4-9p.m.], Wednesday:[4-9p.m.], Thursday:[12-9p.m.], Friday:[12-10p.m.]",https://lh5.googleusercontent.com/p/AF1QipPLa1zYnCja3RijwacAlCZbsU3V-1-m2Mn7Xx7l=w122-h92-k-no,ChIJ1ZGZKNk0K4gRaouNzuptWV8
Est. 2020 Restaurant and Lounge,Chic hangout for shisha & pub grub,"3603 Langstaff Rd unit 8, Woodbridge, ON L4L 9G7",3603 Langstaff Rd unit 8,Woodbridge,Restaurant,87M2RF52+4G,"(905) 264-3497, +1 905-264-3497",INFO@EST-2020.COM,130,4.1,"https://search.google.com/local/reviews?placeid=ChIJ2YarBoQvK4gRfQKWWg2uJ00&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=5559603637389755005,5559603637389755005,https://www.google.com/search?kgmid=/g/11fvnxz1rg&kponly,/g/11fvnxz1rg,43.8077517,-79.5486653,http://www.est-2020.com/,est-2020.com,"Saturday:[5p.m.-2a.m.], Sunday:[2p.m.-1a.m.], Monday:[Closed], Tuesday:[5-11p.m.], Wednesday:[5p.m.-2a.m.], Thursday:[5-11p.m.], Friday:[5p.m.-2a.m.]",https://lh5.googleusercontent.com/p/AF1QipM-xPBqyN1_DO8LGSd3xaVqTYFMek43F62_IDUC=w122-h92-k-no,ChIJ2YarBoQvK4gRfQKWWg2uJ00
Nove Ristorante,Traditional Italian restaurant,"8383 Weston Rd, Woodbridge, ON L4L 1A6",8383 Weston Rd,Woodbridge,Italian restaurant,87M2RC4X+CM,"(905) 850-5444, +1 905-850-5444","850-5444info@noveristorante.ca, info@noverestorante.ca",422,4.5,"https://search.google.com/local/reviews?placeid=ChIJv4z8jYIvK4gRPQdeijZG5vw&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=18223330142264887101,18223330142264887101,https://www.google.com/search?kgmid=/g/1tjtjxgx&kponly,/g/1tjtjxgx,43.806111099999995,-79.5508333,http://www.noveristorante.ca/,noveristorante.ca,"Saturday:[5-9:30p.m.], Sunday:[Closed], Monday:[Closed], Tuesday:[11:30a.m.-3p.m.], Wednesday:[11:30a.m.-3p.m.], Thursday:[11:30a.m.-3p.m.], Friday:[11:30a.m.-3p.m.]",https://lh5.googleusercontent.com/p/AF1QipO-W8JpJ1ltaIMaRfXYcBmvuVkLIi7FyRlVwJQb=w80-h106-k-no,ChIJv4z8jYIvK4gRPQdeijZG5vw
Grey Gardens,Comfortable wine bar with creative fare,"199 Augusta Ave, Toronto, ON M5T 2L4",199 Augusta Ave,Toronto,"Restaurant, Wine bar",87M2MH3X+GC,"(647) 351-1552, +1 647-351-1552","wine@greygardens.ca, info@greygardensofficial.com",682,4.6,"https://search.google.com/local/reviews?placeid=ChIJh6SGZ8I0K4gR47bAdya6pjs&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=4298327568752359139,4298327568752359139,https://www.google.com/search?kgmid=/g/11c6md218z&kponly,/g/11c6md218z,43.6538075,-79.4014753,http://greygardens.ca/,greygardens.ca,"Saturday:[5-10p.m.], Sunday:[Closed], Monday:[Closed], Tuesday:[5-10p.m.], Wednesday:[5-10p.m.], Thursday:[5-10p.m.], Friday:[5-10p.m.]",https://lh5.googleusercontent.com/p/AF1QipM4rS_7fy2IB3OGe0EEYEE_rhrIrxvb0TYWtPWy=w138-h92-k-no,ChIJh6SGZ8I0K4gR47bAdya6pjs
Parallel,Industrial venue for Middle Eastern eats,"217 Geary Ave, Toronto, ON M6H 2C1",217 Geary Ave,Toronto,"Middle Eastern restaurant, Restaurant, Vegetarian restaurant",87M2MH96+QH,"(416) 516-7765, +1 416-516-7765","orders@parallelbrothers.com, info@parallelbrothers.com",999,4.5,"https://search.google.com/local/reviews?placeid=ChIJe40IO280K4gRO2ZDUZbUg-I&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=16322123216594363963,16322123216594363963,https://www.google.com/search?kgmid=/g/11gfjw3gj9&kponly,/g/11gfjw3gj9,43.6694216,-79.4385681,https://parallelbrothers.com/,parallelbrothers.com,"Saturday:[10a.m.-10p.m.], Sunday:[10a.m.-10p.m.], Monday:[11a.m.-10p.m.], Tuesday:[11a.m.-10p.m.], Wednesday:[11a.m.-10p.m.], Thursday:[11a.m.-10p.m.], Friday:[10a.m.-10p.m.]",https://lh5.googleusercontent.com/p/AF1QipNnUYoV7eQLQ1Sc1qyNkjR2eVwOHVF6ijlZjCvP=w163-h92-k-no,ChIJe40IO280K4gRO2ZDUZbUg-I
PAESE Ristorante,Classic Italian food & a long wine list,"3827 Bathurst St, North York, ON M3H 3N1",3827 Bathurst St,North York,"Italian restaurant, Bar, Takeout Restaurant, Restaurant supply store",87M2PHQ8+V8,"(416) 631-6585, +1 416-631-6585",,291,4.2,"https://search.google.com/local/reviews?placeid=ChIJtRmliGcyK4gRDL6S24PKdu0&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=17111086501914131980,17111086501914131980,https://www.google.com/search?kgmid=/g/1tk689n9&kponly,/g/1tk689n9,43.739737399999996,-79.4342209,http://www.paeseristorante.com/,paeseristorante.com,"Saturday:[5-11p.m.], Sunday:[5-11p.m.], Monday:[11:30a.m.-3p.m.], Tuesday:[11:30a.m.-3p.m.], Wednesday:[11:30a.m.-3p.m.], Thursday:[11:30a.m.-3p.m.], Friday:[11:30a.m.-3p.m.]",https://lh5.googleusercontent.com/p/AF1QipOds9S5jFccuws15zc3rAqYLB9H5S3zWDgyTV8p=w122-h92-k-no,ChIJtRmliGcyK4gRDL6S24PKdu0
ScottHill Caribbean Cuisine,Inventive island fare in a chic space,"1943 Avenue Rd, Toronto, ON M5M 4A2",1943 Avenue Rd,Toronto,"Jamaican restaurant, Caribbean restaurant",87M2PHMJ+J6,"(416) 551-6561, +1 416-551-6561",info@scotthillcuisine.ca,435,4.4,"https://search.google.com/local/reviews?placeid=ChIJkQgF9_MyK4gRgfomv1pKUHE&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=8165107878037224065,8165107878037224065,https://www.google.com/search?kgmid=/g/11c5_90ygy&kponly,/g/11c5_90ygy,43.734029299999996,-79.4194677,https://www.scotthillcuisine.ca/,scotthillcuisine.ca,"Saturday:[11:30a.m.-9:30p.m.], Sunday:[3-7p.m.], Monday:[Closed], Tuesday:[11:30a.m.-8p.m.], Wednesday:[11:30a.m.-8p.m.], Thursday:[11:30a.m.-8p.m.], Friday:[11:30a.m.-9:30p.m.]",https://lh5.googleusercontent.com/p/AF1QipMZrXwfdGe8iOV4FLca2YVbBxJ-3MquDkR62ORP=w80-h142-k-no,ChIJkQgF9_MyK4gRgfomv1pKUHE
Grazie Ristorante,"Lively, unpretentious Italian fixture","2373 Yonge St, Toronto, ON M4P 2C8",2373 Yonge St,Toronto,Italian restaurant,87M2PJ52+PG,"(416) 488-0822, +1 416-488-0822","infotoronto@grazie.ca, infovaughan@grazie.ca",2399,4.5,"https://search.google.com/local/reviews?placeid=ChIJ_yW-EiMzK4gRvHHqG-LFF4E&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=9302121130278678972,9302121130278678972,https://www.google.com/search?kgmid=/g/1thhl446&kponly,/g/1thhl446,43.7093346,-79.3986467,http://grazie.ca/,grazie.ca,"Saturday:[12-10p.m.], Sunday:[12-10p.m.], Monday:[12-10p.m.], Tuesday:[12-10p.m.], Wednesday:[12-10p.m.], Thursday:[12-10p.m.], Friday:[12-10p.m.]",https://lh5.googleusercontent.com/p/AF1QipP9vXzp4GOfolaIU8Cin05wbYP86mWxBrbNsijE=w122-h92-k-no,ChIJ_yW-EiMzK4gRvHHqG-LFF4E
Lake Inez,Craft beer & inventive Pan-Asian plates,"1471 Gerrard St E, Toronto, ON M4L 2A1",1471 Gerrard St E,Toronto,Restaurant,87M2MMCH+XP,,"lakeinezto@gmail.com, lakeinezreservations@gmail.com",696,4.7,"https://search.google.com/local/reviews?placeid=ChIJnaQ0LnbM1IkR7izznFHf3H8&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=9213484479311719662,9213484479311719662,https://www.google.com/search?kgmid=/g/11c5zzfsk8&kponly,/g/11c5zzfsk8,43.6723964,-79.3206905,http://lakeinezto.com/,lakeinezto.com,"Saturday:[5:30p.m.-12a.m.], Sunday:[Closed], Monday:[Closed], Tuesday:[Closed], Wednesday:[5:30p.m.-12a.m.], Thursday:[5:30p.m.-12a.m.], Friday:[5:30p.m.-12a.m.]",https://lh5.googleusercontent.com/p/AF1QipPP0RnI2BNFlG7KsVNwcouAD2OMgu8pHIe8Zedt=w138-h92-k-no,ChIJnaQ0LnbM1IkR7izznFHf3H8
Karahi Point,No-frills stop for Pakistani eats,"2642 Islington Ave, Etobicoke, ON M9V 2X5",2642 Islington Ave,Etobicoke,"Pakistani restaurant, Bangladeshi restaurant, Fine dining restaurant, Halal restaurant, Indian restaurant, Delivery Restaurant, Takeout Restaurant, Restaurant, Traditional restaurant",87M2PCQM+5F,"(416) 746-6555, +1 416-746-6555",info@karahipoint.com,2557,4.4,"https://search.google.com/local/reviews?placeid=ChIJN8Ff-YM6K4gR1qkjUf_IKVw&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=6641060124438014422,6641060124438014422,https://www.google.com/search?kgmid=/g/1q6j3wgr_&kponly,/g/1q6j3wgr_,43.7379952,-79.5662609,https://karahipoint.com/locations/etobicoke-halal-restaurant/,karahipoint.com,"Saturday:[12-11p.m.], Sunday:[12-11p.m.], Monday:[12-11p.m.], Tuesday:[12-11p.m.], Wednesday:[12-11p.m.], Thursday:[12-11p.m.], Friday:[12-11p.m.]",https://lh5.googleusercontent.com/p/AF1QipMynfA42eyPUgDgORr--WmeJtzTfPWWlldwC3k=w137-h92-k-no,ChIJN8Ff-YM6K4gR1qkjUf_IKVw
Delight Food Caribbean Takeout Restaurant,,"4712 Jane Street, Shoreham Dr, North York, ON M3N 2L2",4712 Jane Street,North York,"Restaurant, Takeout Restaurant",87M2QF9H+RC,"(416) 739-1762, +1 416-739-1762",,105,4.1,"https://search.google.com/local/reviews?placeid=ChIJ-xHhHtQvK4gRz5DW9C0PQdg&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=15582752875734274255,15582752875734274255,https://www.google.com/search?kgmid=/g/1tg4l__r&kponly,/g/1tg4l__r,43.7696049,-79.52142909999999,https://www.delight-food.ca/,delight-food.ca,"Saturday:[10a.m.-7p.m.], Sunday:[Closed], Monday:[10a.m.-8p.m.], Tuesday:[10a.m.-8p.m.], Wednesday:[10a.m.-8p.m.], Thursday:[10a.m.-9p.m.], Friday:[10a.m.-9p.m.]",https://lh5.googleusercontent.com/p/AF1QipNbeQzABea8PQJWbsVCYMdGjXJ3K2YzT3Oc6JYv=w122-h92-k-no,ChIJ-xHhHtQvK4gRz5DW9C0PQdg
Lara's Restaurant,"Modest, contemporary Middle Eastern spot","155 Consumers Rd #106, North York, ON M2J 0A3",155 Consumers Rd #106,North York,"Middle Eastern restaurant, Mediterranean restaurant",87M2QMF8+5R,"(416) 493-2020, +1 416-493-2020",laras.restaurant@gmail.com,382,4.2,"https://search.google.com/local/reviews?placeid=ChIJjSEvJlnS1IkRxDBQ9_KpSTo&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=4200074988496105668,4200074988496105668,https://www.google.com/search?kgmid=/g/1pp2vdscx&kponly,/g/1pp2vdscx,43.7728949,-79.3329785,http://larasrestaurant.com/,larasrestaurant.com,"Saturday:[1-9p.m.], Sunday:[1-9p.m.], Monday:[Closed], Tuesday:[Closed], Wednesday:[1-9p.m.], Thursday:[1-9p.m.], Friday:[1-9p.m.]",https://lh5.googleusercontent.com/p/AF1QipNlSRQlAniSh2p3OIYQc8tcHmHMQoigUgCtjape=w189-h92-k-no,ChIJjSEvJlnS1IkRxDBQ9_KpSTo
Taste Seduction Jamaican Cuisine,,"399 Keele St, Toronto, ON M6P 2K9",399 Keele St,Toronto,"Jamaican restaurant, Caribbean restaurant, Fusion restaurant, Restaurant",87M2MG8P+F6,"(416) 763-8763, +1 416-763-8763",,279,4.7,"https://search.google.com/local/reviews?placeid=ChIJZ387ASI0K4gRu5galbEI3g0&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=999245726126610619,999245726126610619,https://www.google.com/search?kgmid=/g/11c1xffgd7&kponly,/g/11c1xffgd7,43.6661321,-79.46447669999999,https://www.tasteseduction.ca/,tasteseduction.ca,"Saturday:[12-8p.m.], Sunday:[12-8p.m.], Monday:[12-8p.m.], Tuesday:[12-8p.m.], Wednesday:[12-8p.m.], Thursday:[12-8p.m.], Friday:[12-8p.m.]",https://lh5.googleusercontent.com/p/AF1QipNeJJbMwDlvl0vGIGrC1XhK6e6EjDo_lkmFTd9C=w122-h92-k-no,ChIJZ387ASI0K4gRu5galbEI3g0
GEORGE Restaurant,Fine dining & creative tasting menus,"111C Queen St E, Toronto, ON M5C 1S2",111C Queen St E,Toronto,"Canadian restaurant, Bar, Restaurant, Wedding venue",87M2MJ3G+87,"(416) 863-6006, +1 416-863-6006","info@georgeonqueen.com, communications@verity.ca",950,4.6,"https://search.google.com/local/reviews?placeid=ChIJMbvGqzbL1IkRZerolAi13bI&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=12888656757066885733,12888656757066885733,https://www.google.com/search?kgmid=/m/052lzvy&kponly,/m/052lzvy,43.6533708,-79.3743283,http://www.georgeonqueen.com/,georgeonqueen.com,"Saturday:[5:30-11p.m.], Sunday:[Closed], Monday:[Closed], Tuesday:[5:30-11p.m.], Wednesday:[5:30-11p.m.], Thursday:[5:30-11p.m.], Friday:[5:30-11p.m.]",https://lh5.googleusercontent.com/p/AF1QipOvEtWGe5rHbmEN-iOFsdrmKlZimXJVyxpolG7u=w138-h92-k-no,ChIJMbvGqzbL1IkRZerolAi13bI
Naijaa Restaurant,,"2300 Finch Ave W #55, North York, ON M9M 2C6",2300 Finch Ave W #55,North York,Restaurant,87M2QF35+64,"(416) 247-1205, +1 416-247-1205",,279,3.6,"https://search.google.com/local/reviews?placeid=ChIJtSqk8jcxK4gRr1xhGSTKvjQ&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=3800697391940721839,3800697391940721839,https://www.google.com/search?kgmid=/g/1trxfb6f&kponly,/g/1trxfb6f,43.7531021,-79.5422293,,,"Saturday:[2-8p.m.], Sunday:[Closed], Monday:[2-8p.m.], Tuesday:[2-8p.m.], Wednesday:[2-8p.m.], Thursday:[2-8p.m.], Friday:[2-8p.m.]",https://lh5.googleusercontent.com/p/AF1QipP2iaeGs3yW1NKh0U7d9rYToWDEoI6GCUOUs1dC=w122-h92-k-no,ChIJtSqk8jcxK4gRr1xhGSTKvjQ
ZET'S Restaurant Woodbridge,Low-key hangout serving comfort fare,"15 Jevlan Dr Unit E, Woodbridge, ON L4L 8C2",15 Jevlan Dr Unit E,Woodbridge,Restaurant,87M2QFV4+M2,"(905) 264-8777, +1 905-264-8777",info@zets.ca,282,4.2,"https://search.google.com/local/reviews?placeid=ChIJIVJB-OUvK4gRa9UACrxSUeI&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=16307906693260432747,16307906693260432747,https://www.google.com/search?kgmid=/g/11jp04l0p4&kponly,/g/11jp04l0p4,43.794134799999995,-79.5449852,http://zets.ca/,zets.ca,"Saturday:[11a.m.-10p.m.], Sunday:[11a.m.-9p.m.], Monday:[Closed], Tuesday:[11a.m.-9p.m.], Wednesday:[11a.m.-9p.m.], Thursday:[11a.m.-9p.m.], Friday:[11a.m.-10p.m.]",https://lh5.googleusercontent.com/p/AF1QipNMrE7j-m91QK_itPs6_FBUmRPWgMBg83jO7RRX=w80-h106-k-no,ChIJIVJB-OUvK4gRa9UACrxSUeI
Gusto 101,Inventive Italian fare & wine on tap,"101 Portland St, Toronto, ON M5V 2N3",101 Portland St,Toronto,"Italian restaurant, Restaurant",87M2JHWX+3X,"(416) 504-9669, +1 416-504-9669",jane@gusto101.com,3518,4.4,"https://search.google.com/local/reviews?placeid=ChIJm5_QX940K4gRdtM5bxGf3g4&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=1071468658590077814,1071468658590077814,https://www.google.com/search?kgmid=/g/1hc2n8zdk&kponly,/g/1hc2n8zdk,43.645182899999995,-79.4001238,http://gusto101.com/,gusto101.com,"Saturday:[2-10p.m.], Sunday:[2-10p.m.], Monday:[Closed], Tuesday:[4-10p.m.], Wednesday:[4-10p.m.], Thursday:[4-10p.m.], Friday:[4-10p.m.]",https://lh5.googleusercontent.com/p/AF1QipM-0JbmfYXoULJp7yuQHBkvTNijzQcWsDhwXRCB=w122-h92-k-no,ChIJm5_QX940K4gRdtM5bxGf3g4
Aloette Restaurant,Upscale diner for comfort & French fare,"163 Spadina Ave. 1st Floor, Toronto, ON M5V 2A5",163 Spadina Ave. 1st Floor,Toronto,"Canadian restaurant, Restaurant",87M2JJX3+CJ,"(416) 260-3444, +1 416-260-3444",,1080,4.6,"https://search.google.com/local/reviews?placeid=ChIJVVXhcts0K4gR9wRXqbtY0rY&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=13173689423035303159,13173689423035303159,https://www.google.com/search?kgmid=/g/11fz24my2m&kponly,/g/11fz24my2m,43.648548,-79.395963,http://aloetterestaurant.com/,aloetterestaurant.com,"Saturday:[5-11p.m.], Sunday:[5-11p.m.], Monday:[5-11p.m.], Tuesday:[5-11p.m.], Wednesday:[5-11p.m.], Thursday:[5-11p.m.], Friday:[5-11p.m.]",https://lh5.googleusercontent.com/p/AF1QipOedfVO3erki6JjrKvEArQACysFG0pesXiMk3zu=w135-h92-k-no,ChIJVVXhcts0K4gR9wRXqbtY0rY
